Name,Routes
Desu Office Karala,"[{'name': '0114', 'mode': 5, 'dir': 'Kanjhawala Depot'}, {'name': '114', 'mode': 5, 'dir': 'Qutabgard'}, {'name': '114+TMS(', 'mode': 5, 'dir': 'Kanjhawala Depot'}, {'name': '114-TMS-', 'mode': 5, 'dir': 'Kanjhawala Depot'}, {'name': '174', 'mode': 5, 'dir': 'Tatesher Village'}, {'name': '182ACLST', 'mode': 5, 'dir': 'Kanjhawala Depot'}, {'name': '247', 'mode': 5, 'dir': 'Kanjhawala'}, {'name': '741', 'mode': 5, 'dir': 'Jonti Village'}, {'name': '741A', 'mode': 5, 'dir': 'Katewara Village'}, {'name': '901', 'mode': 5, 'dir': 'Kanjhawala Depot'}, {'name': '901STLCL', 'mode': 5, 'dir': 'Kanjhawala Depot'}, {'name': '915', 'mode': 5, 'dir': 'Mazra Dabas'}, {'name': '915Ext', 'mode': 5, 'dir': 'Bawana'}, {'name': '921E', 'mode': 5, 'dir': 'Kanjhawala Depot'}, {'name': '921STL', 'mode': 5, 'dir': 'Rani Khera'}, {'name': '962', 'mode': 5, 'dir': 'Kanjhawala'}, {'name': '962ExtCL', 'mode': 5, 'dir': 'Kanjhawala Depot'}, {'name': '962STL', 'mode': 5, 'dir': 'Kanjhawala Depot'}, {'name': '972', 'mode': 5, 'dir': 'Bawana Depot'}, {'name': '972A', 'mode': 5, 'dir': 'Bawana Depot'}, {'name': '979', 'mode': 5, 'dir': 'Narela'}, {'name': '979STL', 'mode': 5, 'dir': 'Kanjhawala'}, {'name': 'GMS(+) A', 'mode': 5, 'dir': 'Azad Pur'}]"
Mubarik Pur X-Ing,"[{'name': '915Ext', 'mode': 5, 'dir': 'Karampura Terminal'}]"
Harijan Basti,"[{'name': '929', 'mode': 5, 'dir': 'Fatehpuri'}]"
Kirari Nehar,"[{'name': '929Ext', 'mode': 5, 'dir': 'Mubarik Pur Dabas'}]"
Nangloi J J Colony,"[{'name': '915', 'mode': 5, 'dir': 'Mazra Dabas'}]"
Nangloi Metro Station,"[{'name': '918', 'mode': 5, 'dir': 'Ambedkar Stadium Terminal'}, {'name': '928Stl', 'mode': 5, 'dir': 'Karampura Terminal'}, {'name': '929', 'mode': 5, 'dir': 'Fatehpuri'}, {'name': '935', 'mode': 5, 'dir': 'Punjabi Bagh X-Ing'}, {'name': '947A', 'mode': 5, 'dir': 'Bhati Mines(Sanjay Colony)'}]"
Sultanpuri X-Ing,"[{'name': '929', 'mode': 5, 'dir': 'Mubarik Pur Dabas'}]"
Krishna Vihar Colony,"[{'name': '915Ext', 'mode': 5, 'dir': 'Bawana'}]"
D S I D C Sector 3,"[{'name': '191', 'mode': 5, 'dir': 'Mori Gate Terminal'}]"
Bawana,"[{'name': '708A', 'mode': 5, 'dir': 'Lampur Border'}, {'name': '708B', 'mode': 5, 'dir': 'Narela'}, {'name': '972', 'mode': 5, 'dir': 'Bawana Depot'}, {'name': '972A', 'mode': 5, 'dir': 'Bawana Depot'}, {'name': '979', 'mode': 5, 'dir': 'Narela'}]"
Holambi Kalan X-Ing,"[{'name': '959', 'mode': 5, 'dir': 'Narela'}]"
Ali Pur Village,"[{'name': '103', 'mode': 5, 'dir': 'Old Delhi Railway Station'}, {'name': '103STL', 'mode': 5, 'dir': 'Azad Pur'}, {'name': '109', 'mode': 5, 'dir': 'Old Delhi Railway Station'}, {'name': '112', 'mode': 5, 'dir': 'Old Delhi Railway Station'}, {'name': '131', 'mode': 5, 'dir': 'Old Delhi Railway Station'}, {'name': '135', 'mode': 5, 'dir': 'Gtb Nagar'}, {'name': '171', 'mode': 5, 'dir': 'Azad Pur'}]"
Budhpur,"[{'name': '120B', 'mode': 5, 'dir': 'Azad Pur'}, {'name': '193', 'mode': 5, 'dir': 'Azad Pur'}, {'name': 'RL-77Ext', 'mode': 5, 'dir': 'Azad Pur'}]"
Hiranki,"[{'name': '162', 'mode': 5, 'dir': 'Tiggipur Village'}]"
Amrit Vihar Colony,"[{'name': '105', 'mode': 5, 'dir': 'Keshav Nagar X-Ing'}, {'name': '143', 'mode': 5, 'dir': 'Keshav Nagar X-Ing'}, {'name': '162', 'mode': 5, 'dir': 'Tiggipur Village'}, {'name': '185', 'mode': 5, 'dir': 'Nathu Pura'}, {'name': '185STL', 'mode': 5, 'dir': 'Nathu Pura'}, {'name': '192', 'mode': 5, 'dir': 'Keshav Nagar X-Ing'}, {'name': '192STL', 'mode': 5, 'dir': 'Keshav Nagar X-Ing'}]"
Swaroop Nagar,"[{'name': '103', 'mode': 5, 'dir': 'Narela'}, {'name': '103STL', 'mode': 5, 'dir': 'Harish Chandra Hospital'}, {'name': '109', 'mode': 5, 'dir': 'Bankner Village'}, {'name': '112', 'mode': 5, 'dir': 'Safia Bad Border'}, {'name': '120', 'mode': 5, 'dir': 'Narela'}, {'name': '120B', 'mode': 5, 'dir': 'Narela'}, {'name': '124', 'mode': 5, 'dir': 'Mukhmilpur'}, {'name': '125', 'mode': 5, 'dir': 'Palla X-Ing'}, {'name': '128', 'mode': 5, 'dir': 'Khera Kurd'}, {'name': '129', 'mode': 5, 'dir': 'Jhingola Village'}, {'name': '131', 'mode': 5, 'dir': 'Narela'}, {'name': '134', 'mode': 5, 'dir': 'Ibrahim Pur Village'}, {'name': '134A', 'mode': 5, 'dir': 'Ibrahim Pur Village'}, {'name': '135', 'mode': 5, 'dir': 'Narela Terminal'}, {'name': '144', 'mode': 5, 'dir': 'Singhu Boder'}, {'name': '146', 'mode': 5, 'dir': 'Hiranki Village'}, {'name': '147', 'mode': 5, 'dir': 'Tiggi Pur Village'}, {'name': '148', 'mode': 5, 'dir': 'Tikari Khurd Village'}, {'name': '149', 'mode': 5, 'dir': 'Tajpur Village'}, {'name': '154', 'mode': 5, 'dir': 'Dahisara Border'}, {'name': '17', 'mode': 5, 'dir': 'Ramjan Pur X-Ing'}, {'name': '171', 'mode': 5, 'dir': 'Holambi Kalan'}, {'name': '172', 'mode': 5, 'dir': 'Holambi Khurd'}, {'name': '179', 'mode': 5, 'dir': 'Narela'}, {'name': '193', 'mode': 5, 'dir': 'Narela'}, {'name': '194', 'mode': 5, 'dir': 'Bankoli X-Ing'}, {'name': '195', 'mode': 5, 'dir': 'Siras Pur Village'}, {'name': '341', 'mode': 5, 'dir': 'Metro Vihar (Holambi Kalan Jj Colony )'}, {'name': '882', 'mode': 5, 'dir': 'Metro Vihar (Holambi Kalan Jj Colony )'}, {'name': 'OMS(+) A', 'mode': 5, 'dir': 'Hamidpur Villege'}, {'name': 'RL-77Ext', 'mode': 5, 'dir': 'Ghogha Village'}, {'name': 'YMS(-)Ya', 'mode': 5, 'dir': 'Holambi Kalan'}]"
